beat,precinct
99,SR99
B1,North
B2,North
B3,North
C1,East
C2,East
C3,East
D1,West
D2,West
D3,West
E1,East
E2,East
E3,East
F1,Southwest
F2,Southwest
F3,Southwest
G1,East
G2,East
G3,East
J1,North
J2,North
J3,North
K1,West
K2,West
K3,West
L1,North
L2,North
L3,North
M1,West
M2,West
M3,West
N1,North
N2,North
N3,North
O1,South
O2,South
O3,South
Q1,West
Q2,West
Q3,West
R1,South
R2,South
R3,South
S1,South
S2,South
S3,South
U1,North
U2,North
U3,North
W1,Southwest
W2,Southwest
W3,Southwest
